County,Constituency_name,Ward
,kamukunji,eastleigh south
,kamukunji,airbase
,kamukunji,california
,starehe,nairobi central
,starehe,ngara
,starehe,ziwani/kariokor
,starehe,pangani
,starehe,landimawe
,starehe,nairobi south
,mathare,hospital
,mathare,mabatini
,mathare,huruma
,mathare,ngei
,mathare,mlango kubwa
,mathare,kiamaiko
NYAMIRA,borabu,boochi
,borabu,bokimonge
,borabu,moticho
,borabu,mwamosioma
,manga,manga
,manga,kamera
,manga,getenga
,manga,magombo
,manga,gesima
,masaba north,nyansiongo
,masaba north,esise
,masaba north,kiabonyoru
,masaba north,bonyamatuta
,masaba north,magwagwa
,nyamira south,ekerenyo
,nyamira south,mekenene
,nyamira south,nyamaiya
,nyamira south,bokeira
,nyamira south,itibo
